L.p.,Sex,Age_2,Man_nman,Av_1,Dst_2,Cst_3,Av_4,Av_5,Dst_6,Dst_7,Cst_8,Dst_9,Dst_10,Av_11,Av_12,Cst_13,Pas_14,Av_15,Dst_16,Av_17,Dst_18,Cst_19,Cst_20,Pas_21,Cst_22,Dst_23,Pas_24,Av_25,Cst_26,Pas_27,Pas_28,Pas_29,Dst_30,Pas_31,Av_Pass,ConstrB,DestrB,AnxEm,HappEm,DejEm,AngerEm
1,1,2,0,2,1,3,1,1,1,1,4,2,1,1,2,3,2,1,2,1,2,3,3,1,3,1,2,1,2,2,1,1,1,1,1.375,3,1.5,1.63,2,1.2,2.25
2,,2,0,1,2,4,1,1,2,1,3,1,1,2,1,4,2,2,2,1,1,4,4,3,4,1,2,1,2,1,3,3,2,2,1.625,3.571429,1.5,2.5,1.86,3,2.25
3,1,2,0,1,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,2,2,2,1,2,1.625,2.285714,1.5,1.75,1.57,2.2,2
4,1,1,0,2,2,3,2,2,1,1,3,1,1,2,1,3,1,2,2,2,1,3,2,2,3,2,2,1,2,2,1,2,1,2,1.625,2.714286,1.166667,2.63,2.14,1.8,2
5,1,2,0,2,1,2,2,1,1,2,2,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1.625,2,1.166667,3,1.86,2.2,2.25
6,0,1,0,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,2,1,1,3,3,1,3,1,1,2,1,0,1,0,2,1,1.125,2.714286,1.333333,1.25,3,1.2,1.25
7,1,2,0,2,2,4,1,1,1,1,4,1,1,1,3,4,1,4,1,1,1,3,3,1,3,1,1,1,3,2,1,2,1,2,1.625,3.428571,1,1.63,3.29,1.2,1.25
8,1,3,,2,1,3,2,2,1,1,3,1,1,2,3,3,2,2,1,1,2,3,3,2,3,1,1,2,2,1,2,2,1,2,2,2.857143,1.166667,2.13,2.57,1.4,2
9,,,,2,2,2,2,1,1,2,4,1,1,1,3,3,2,2,1,2,2,3,3,2,3,1,2,1,2,2,2,2,1,2,1.875,2.857143,1.166667,2.13,2.43,1.6,2
10,1,4,0,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,3,1,4,1,1,1,2,1,1,2,1,1,1.25,2.285714,1,1.13,2.29,1.4,1.5
11,,2,0,2,2,3,1,2,1,1,2,1,1,1,2,3,3,1,2,1,1,3,3,2,3,1,2,1,3,2,1,2,1,1,1.75,2.857143,1.166667,1.75,2.43,1,1.5
12,1,4,0,3,1,3,3,1,1,4,2,1,1,2,2,3,2,3,1,2,1,3,3,2,3,1,3,2,3,2,1,3,1,2,2.25,2.857143,1,2.13,1.43,1.8,2.5
13,1,3,0,2,1,2,1,2,2,1,2,1,1,2,2,3,1,2,3,1,2,2,3,1,3,1,1,2,3,2,1,2,2,2,1.5,2.571429,1.833333,1.5,3,1.2,2
14,1,4,0,3,1,2,3,1,1,1,3,1,1,1,3,3,1,3,2,2,1,3,3,2,3,1,2,1,3,2,3,2,1,3,2,2.857143,1.166667,1.75,3,1.6,1.25
15,1,2,0,1,2,3,1,2,1,1,4,1,1,2,2,4,1,1,2,1,1,4,4,1,4,1,1,1,4,1,1,2,1,1,1.25,3.857143,1.166667,1,3.29,1.4,1.5
16,1,1,0,1,1,4,1,1,1,1,3,1,1,1,2,4,1,1,2,1,1,3,3,1,3,1,1,1,3,1,1,2,2,1,1.125,3.285714,1.333333,1.5,3.14,1,1.5
17,1,2,0,2,2,4,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,3.571429,1.166667,1.38,3.14,1.6,1.5
18,1,4,0,1,1,3,1,2,1,1,3,1,1,2,2,3,2,2,3,1,1,3,3,2,3,1,3,1,3,3,2,1,1,2,1.875,3,1.333333,1.63,2.57,2,1.25
19,1,2,0,2,2,3,2,1,1,1,3,1,1,1,2,3,2,2,2,1,2,3,4,2,3,1,2,2,3,2,2,2,2,2,1.875,3.142857,1.5,1.75,2.57,1.4,1.5
20,0,1,0,1,2,3,1,1,2,1,3,1,1,1,3,3,1,2,2,2,2,4,4,3,3,1,1,1,3,1,2,3,1,2,1.625,3.285714,1.5,1.63,3,1.6,1.75
21,,,,1,2,3,1,1,1,1,3,1,2,2,3,2,2,2,2,1,1,3,1,2,2,2,2,1,2,2,2,2,2,2,1.75,2.285714,1.5,2.5,2.86,2.6,2.25
22,0,3,,1,2,3,1,1,1,1,4,1,1,1,1,3,1,1,2,2,1,3,3,1,3,1,1,1,3,1,1,2,1,1,1,3.142857,1.166667,2.38,2.29,1.8,2.5
